gestion,mes,mes,partida,descripcion
2020,1,Enero,0402,leche
2020,9,Septiembre,0402,leche
2020,1,Enero,0401,leche
2020,1,Enero,0402,leche
2020,1,Enero,0402,leche
2020,1,Enero,0402,leche
2020,1,Enero,0402,leche
2020,1,Enero,0402,leche
2020,1,Enero,0406,quesos
2020,1,Enero,0406,quesos
2020,1,Enero,0402,leche
2020,1,Enero,0406,quesos
2020,1,Enero,0203,carne
2020,1,Enero,0206,despojos
2020,1,Enero,0402,leche
2020,1,Enero,0408,huevos
2020,1,Enero,0303,pescado
2020,1,Enero,0304,filetes
2020,1,Enero,0306,crustáceos
2020,1,Enero,0306,crustáceos
2020,1,Enero,0306,crustáceos
2020,1,Enero,0306,crustáceos
2020,1,Enero,0307,moluscos
2020,1,Enero,0307,moluscos
2020,1,Enero,0307,moluscos
2020,1,Enero,0307,moluscos
2020,1,Enero,0307,moluscos
2020,1,Enero,0307,moluscos
2020,1,Enero,0402,leche
2020,1,Enero,0402,leche
2020,2,Febrero,0402,leche
2020,2,Febrero,0401,leche
2020,2,Febrero,0402,leche
2020,2,Febrero,0402,leche
2020,2,Febrero,0402,leche
2020,2,Febrero,0402,leche
2020,2,Febrero,0408,huevos
2020,2,Febrero,0301,peces
2020,2,Febrero,0402,leche
2020,2,Febrero,0402,leche
2020,2,Febrero,0407,huevos
2020,2,Febrero,0402,leche
2020,3,Marzo,0402,leche
2020,3,Marzo,0402,leche
2020,3,Marzo,0402,leche
2020,3,Marzo,0402,leche
2020,3,Marzo,0402,leche
2020,3,Marzo,0402,leche
2020,3,Marzo,0406,quesos
2020,3,Marzo,0402,leche
2020,3,Marzo,0306,crustáceos
2020,3,Marzo,0306,crustáceos
2020,3,Marzo,0307,moluscos
2020,3,Marzo,0402,leche
2020,4,Abril,0402,leche
2020,4,Abril,0402,leche
2020,4,Abril,0402,leche
2020,4,Abril,0402,leche
2020,4,Abril,0203,carne
2020,4,Abril,0203,carne
2020,4,Abril,0206,despojos
2020,4,Abril,0402,leche
2020,4,Abril,0402,leche
2020,4,Abril,0402,leche
2020,4,Abril,0402,leche
2020,5,Mayo,0402,leche
2020,5,Mayo,0401,leche
2020,5,Mayo,0402,leche
2020,5,Mayo,0402,leche
2020,5,Mayo,0406,quesos
2020,5,Mayo,0402,leche
2020,5,Mayo,0203,carne
2020,5,Mayo,0206,despojos
2020,5,Mayo,0402,leche
2020,5,Mayo,0408,huevos
2020,5,Mayo,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0403,suero
2020,6,Junio,0409,miel
2020,6,Junio,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0203,carne
2020,6,Junio,0206,despojos
2020,6,Junio,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0511,productos
2020,6,Junio,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0402,leche
2020,6,Junio,0404,lactosuero
2020,6,Junio,0402,leche
2020,6,Junio,0404,lactosuero
2020,7,Julio,0402,leche
2020,7,Julio,0402,leche
2020,7,Julio,0403,suero
2020,7,Julio,0402,leche
2020,7,Julio,0406,quesos
2020,7,Julio,0402,leche
2020,7,Julio,0203,carne
2020,7,Julio,0206,despojos
2020,7,Julio,0402,leche
2020,7,Julio,0402,leche
2020,7,Julio,0410,productos
2020,7,Julio,0408,huevos
2020,7,Julio,0408,huevos
2020,7,Julio,0402,leche
2020,7,Julio,0402,leche
2020,7,Julio,0402,leche
2020,7,Julio,0404,lactosuero
2020,8,Agosto,0402,leche
2020,8,Agosto,0402,leche
2020,8,Agosto,0403,suero
2020,8,Agosto,0402,leche
2020,8,Agosto,0402,leche
2020,8,Agosto,0402,leche
