parte_proyecto_inclusion,sexo,edad,departamento,ciudad,unidad_educativa,nivel_educacion_maximo,anios_experiencia,tiempo_ue_actual,tiempo_ue_actual_num,area_imparte,paso_curso_tec,curso,pc_casa,laptop_escritorio,num_pc,tablet,num_tablet,origen_pc,pc_llenado,pc_juegos,pc_estudio,pc_musica,pc_redes,pc_nada,pc_planificar,pc_clases,pc_videos,pc_internet,tiene_celular,tiene_smartphone,cel_llamadas,cel_musica,cel_juegos,cel_fotos,cel_redes,cel_text,cel_videos,cel_internet,internet_casa,internet_movil,internet_colegio,usa_facebook,usa_youtube,usa_whatsapp,usa_messenger,usa_instagram,usa_twiter,usa_linkedin,usa_skype,dias_uso_internet,so,conoce_soft_libre,existe_laboratorio,sabe_inclusion_digital
Sí,Masculino,32,Santa Cruz,Santa Cruz de la Sierra,NACIONAL COTOCA,licenciatura,20,Más de un año,15,"Ciencia, Tecnología y Producción",Sí,Aulas Tic,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,38,La Paz,El Alto,PRIMAVERA B,licenciatura,19,Más de un año,5,Comunidad y Sociedad,Sí,proyecto Inclusión digital programado por la Agetic,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Femenino,54,La Paz,La Paz,DOMINGO FAUSTINO SARMIENTO,especialidad,20,Más de un año,5,Comunidad y Sociedad,Sí,Elaboración de videos,Sí,Computadora portátil,2,Sí,1,Dotada por el ministerio,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,Linux,Sí,Sí,Sí
Sí,Femenino,54,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,licenciatura,26,Menos de un año,NA,Comunidad y Sociedad,Sí,Capacitación a profesores.,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Masculino,34,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,licenciatura,10,Más de un año,7,"Ciencia, Tecnología y Producción",Sí,Tics en educación,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,35,La Paz,El Alto,TUPAC AMARU,licenciatura,5,Más de un año,2,Comunidad y Sociedad,Sí,AGETIC,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,51,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,licenciatura,21,Más de un año,5,Cosmos y Pensamiento,Sí,Inclucion digital,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,37,La Paz,El Alto,PUERTO DE MEJILLONES CIUDAD SATELITE,licenciatura,13,Más de un año,3,Comunidad y Sociedad,Sí,Ofimatica. Agetic,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,Sí,No
Sí,Femenino,62,Oruro,Oruro,PANTALEON DALENCE 1,normalista,34,Más de un año,30,"Ciencia, Tecnología y Producción",Sí,Implementación del uso de las tecnologías en aula,Sí,Computadora de escritorio,2,No,NA,Por cuenta propia,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,7,Windows,Sí,Sí,No
Sí,Femenino,44,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,licenciatura,19,Más de un año,11,"Vida, Tierra y Territorio",Sí,Capacitación con Agetic,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,7,Windows,Sí,Sí,No
Sí,Femenino,33,La Paz,El Alto,ABEL ITURRALDE B,licenciatura,5,Más de un año,3,Cosmos y Pensamiento,Sí,Unesco,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,Sí,No,Sí
